tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
390931995152,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Udaipur,RJ,,2020-03-07 16:27:00,2020-03-13 13:54:00,141.45,3,13,132.7166666666667,47.15,True,RECEPTIONIST_OR_FRONT_DESK,1,True,18
391080697205,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,2020-03-13 17:14:00,2020-03-16 16:25:00,71.18333333333334,3,12,59.733333333333334,23.727777777777778,True,RECEPTIONIST_OR_FRONT_DESK,0,False,16
391128770200,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,2020-03-16 15:44:00,2020-03-20 16:55:00,97.18333333333334,3,7,82.4,32.394444444444446,True,RESIDENCE,1,True,11
390950240108,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-09 15:12:00,2020-03-12 16:00:00,72.8,3,9,59.900000000000006,24.266666666666666,True,,0,False,13
390767808307,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Greater Noida,UP,,2020-03-02 16:23:00,2020-03-06 18:28:00,98.08333333333333,2,8,86.85,49.041666666666664,True,RESIDENCE,0,False,12
391128738630,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-16 15:44:00,2020-03-18 14:08:00,46.4,3,6,33.833333333333336,15.466666666666667,True,RESIDENCE,1,True,10
390902329207,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,2020-03-06 16:07:00,2020-03-07 11:06:00,18.983333333333334,3,6,12.950000000000001,6.327777777777778,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10
391198356290,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Thanjavur,TN,,2020-03-18 17:08:00,2020-04-10 09:25:00,544.2833333333333,3,10,107.45000000000002,181.42777777777778,True,RESIDENCE,0,False,16
390931713959,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,2020-03-07 16:27:00,2020-03-11 15:19:00,94.86666666666666,3,7,80.95,31.62222222222222,True,RESIDENCE,1,True,11
391017620614,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-11 16:39:00,2020-03-16 16:32:00,119.88333333333334,3,11,85.83333333333333,39.961111111111116,True,RESIDENCE,1,True,15
390932012191,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Kozhikode,KL,,2020-03-07 16:27:00,2020-03-10 16:00:00,71.55,3,5,59.68333333333334,23.849999999999998,True,RECEPTIONIST_OR_FRONT_DESK,0,False,8
390871747925,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,indore,MP,,2020-03-05 19:20:00,2020-03-09 15:49:00,92.48333333333333,3,11,83.36666666666666,30.82777777777778,True,RESIDENCE,1,True,16
391128574287,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Gurugram,HR,,2020-03-16 15:44:00,2020-03-20 12:59:00,93.25,3,7,80.1,31.083333333333332,True,RESIDENCE,1,True,11
391109027000,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bhilai,CT,,2020-03-14 16:35:00,2020-03-20 15:55:00,143.33333333333334,3,10,110.13333333333333,47.77777777777778,True,RESIDENCE,1,True,14
391049862758,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-12 16:17:00,2020-03-14 16:00:00,47.71666666666667,3,6,33.43333333333333,15.905555555555557,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10
